20

1.50	2.00	2.25	0.75	0.50	2.75	5.00	1.50	4.00	4.00	0.25	0.75	1.00	0.50	3.50	0.25	2.75	3.25	5.00	3.00

3						
2	5	6				
3						
1	3	5				
4						
2	4	5	7			
2						
3	7					
4						
1	2	3	6			
5						
1	5	7	8	9		
4						
3	4	6	10			
5						
6	9	11	14	16		
4						
6	8	10	11			
4						
7	9	12	13			
4						
8	9	12	14			
7						
10	11	13	14	15	17	19
3						
10	12	15				
4						
8	11	12	17			
3						
12	13	19				
4						
8	17	18	20			
4						
12	14	16	18			
4						
16	17	19	20			
4						
12	15	18	20			
3						
16	18	19				
